"","st_sensor_code","st_value_1","datetime","year","csum","x"
"122",748,0,2020-02-03 15:00:00,"2020",0,0000-02-03 15:00:00
"123",748,0,2020-02-03 14:00:00,"2020",0,0000-02-03 14:00:00
"124",748,0,2020-02-03 12:59:59,"2020",0,0000-02-03 13:00:00
"125",748,0,2020-02-03 12:00:00,"2020",0,0000-02-03 12:00:00
"126",748,0,2020-02-03 11:00:00,"2020",0,0000-02-03 11:00:00
"127",748,0,2020-02-03 09:59:59,"2020",0,0000-02-03 10:00:00
"128",748,0,2020-02-03 09:00:00,"2020",0,0000-02-03 09:00:00
"129",748,0,2020-02-03 08:00:00,"2020",0,0000-02-03 08:00:00
"130",748,0,2020-02-03 06:59:59,"2020",0,0000-02-03 07:00:00
"131",748,0,2020-02-03 06:00:00,"2020",0,0000-02-03 06:00:00
"132",748,0,2020-02-03 05:00:00,"2020",0,0000-02-03 05:00:00
"133",748,0,2020-02-03 03:59:59,"2020",0,0000-02-03 04:00:00
"134",748,0,2020-02-03 03:00:00,"2020",0,0000-02-03 03:00:00
"135",748,0,2020-02-03 02:00:00,"2020",0,0000-02-03 02:00:00
"136",748,0,2020-02-03 00:59:59,"2020",0,0000-02-03 01:00:00
"137",748,0,2020-02-03 00:00:00,"2020",0,0000-02-03 00:00:00
"138",748,0,2020-02-02 23:00:00,"2020",0,0000-02-02 23:00:00
"139",748,0,2020-02-02 21:59:59,"2020",0,0000-02-02 22:00:00
"140",748,0,2020-02-02 21:00:00,"2020",0,0000-02-02 21:00:00
"141",748,0,2020-02-02 20:00:00,"2020",0,0000-02-02 20:00:00
"142",748,0,2020-02-02 18:59:59,"2020",0,0000-02-02 19:00:00
"143",748,0,2020-02-02 18:00:00,"2020",0,0000-02-02 18:00:00
"144",748,0,2020-02-02 17:00:00,"2020",0,0000-02-02 17:00:00
"145",748,0,2020-02-04 15:59:59,"2020",0,0000-02-04 16:00:00
"146",748,0,2020-02-04 15:00:00,"2020",0,0000-02-04 15:00:00
"147",748,0,2020-02-04 14:00:00,"2020",0,0000-02-04 14:00:00
"148",748,0,2020-02-04 12:59:59,"2020",0,0000-02-04 13:00:00
"149",748,0,2020-02-04 12:00:00,"2020",0,0000-02-04 12:00:00
"150",748,0,2020-02-04 11:00:00,"2020",0,0000-02-04 11:00:00
"151",748,0,2020-02-04 09:59:59,"2020",0,0000-02-04 10:00:00
"152",748,0,2020-02-04 09:00:00,"2020",0,0000-02-04 09:00:00
"153",748,0,2020-02-04 08:00:00,"2020",0,0000-02-04 08:00:00
"154",748,0,2020-02-04 06:59:59,"2020",0,0000-02-04 07:00:00
"155",748,0,2020-02-04 06:00:00,"2020",0,0000-02-04 06:00:00
"156",748,0,2020-02-04 05:00:00,"2020",0,0000-02-04 05:00:00
"157",748,0,2020-02-04 03:59:59,"2020",0,0000-02-04 04:00:00
"158",748,0,2020-02-04 03:00:00,"2020",0,0000-02-04 03:00:00
"159",748,0,2020-02-04 02:00:00,"2020",0,0000-02-04 02:00:00
"160",748,0,2020-02-04 00:59:59,"2020",0,0000-02-04 01:00:00
"161",748,0,2020-02-04 00:00:00,"2020",0,0000-02-04 00:00:00
"162",748,0,2020-02-03 23:00:00,"2020",0,0000-02-03 23:00:00
"163",748,0,2020-02-03 21:59:59,"2020",0,0000-02-03 22:00:00
"164",748,0,2020-02-03 21:00:00,"2020",0,0000-02-03 21:00:00
"165",748,0,2020-02-03 20:00:00,"2020",0,0000-02-03 20:00:00
"166",748,0,2020-02-03 18:59:59,"2020",0,0000-02-03 19:00:00
"167",748,0,2020-02-03 18:00:00,"2020",0,0000-02-03 18:00:00
"168",748,0,2020-02-03 17:00:00,"2020",0,0000-02-03 17:00:00
"169",748,0,2020-02-05 15:59:59,"2020",0,0000-02-05 16:00:00
"170",748,0,2020-02-05 15:00:00,"2020",0,0000-02-05 15:00:00
"171",748,0,2020-02-05 14:00:00,"2020",0,0000-02-05 14:00:00
"172",748,0,2020-02-05 12:59:59,"2020",0,0000-02-05 13:00:00
"173",748,0,2020-02-05 12:00:00,"2020",0,0000-02-05 12:00:00
"174",748,0,2020-02-05 11:00:00,"2020",0,0000-02-05 11:00:00
"175",748,0,2020-02-05 09:59:59,"2020",0,0000-02-05 10:00:00
"176",748,0,2020-02-05 09:00:00,"2020",0,0000-02-05 09:00:00
"177",748,0,2020-02-05 08:00:00,"2020",0,0000-02-05 08:00:00
"178",748,0,2020-02-05 06:59:59,"2020",0,0000-02-05 07:00:00
"179",748,0,2020-02-05 06:00:00,"2020",0,0000-02-05 06:00:00
"180",748,0,2020-02-05 05:00:00,"2020",0,0000-02-05 05:00:00
"181",748,0,2020-02-05 03:59:59,"2020",0,0000-02-05 04:00:00
"182",748,0,2020-02-05 03:00:00,"2020",0,0000-02-05 03:00:00
"183",748,0,2020-02-05 02:00:00,"2020",0,0000-02-05 02:00:00
"184",748,0,2020-02-05 00:59:59,"2020",0,0000-02-05 01:00:00
"185",748,0,2020-02-05 00:00:00,"2020",0,0000-02-05 00:00:00
"186",748,0,2020-02-04 23:00:00,"2020",0,0000-02-04 23:00:00
"187",748,0,2020-02-04 21:59:59,"2020",0,0000-02-04 22:00:00
"188",748,0,2020-02-04 21:00:00,"2020",0,0000-02-04 21:00:00
"189",748,0,2020-02-04 20:00:00,"2020",0,0000-02-04 20:00:00
"190",748,0,2020-02-04 18:59:59,"2020",0,0000-02-04 19:00:00
"191",748,0,2020-02-04 18:00:00,"2020",0,0000-02-04 18:00:00
"192",748,0,2020-02-04 17:00:00,"2020",0,0000-02-04 17:00:00
"193",748,0,2020-02-06 15:59:59,"2020",0,0000-02-06 16:00:00
"194",748,0,2020-02-06 15:00:00,"2020",0,0000-02-06 15:00:00
"195",748,0,2020-02-06 14:00:00,"2020",0,0000-02-06 14:00:00
"196",748,0,2020-02-06 12:59:59,"2020",0,0000-02-06 13:00:00
"197",748,0,2020-02-06 12:00:00,"2020",0,0000-02-06 12:00:00
"198",748,0,2020-02-06 11:00:00,"2020",0,0000-02-06 11:00:00
"199",748,0,2020-02-06 09:59:59,"2020",0,0000-02-06 10:00:00
"200",748,0,2020-02-06 09:00:00,"2020",0,0000-02-06 09:00:00
"201",748,0,2020-02-06 08:00:00,"2020",0,0000-02-06 08:00:00
